"name","address","state","overview","theme","establishment_year","website","contact_info","admission_fee","timings","facilities"
"Archaeological Site Museum","Amaravati, Guntur District - 522002","Andhra Pradesh","The Museum displays sculptures such as the Amaravati Stupas and few other sculptures from places like Gummadidarru, Ramireddipalle, Alluru and Lingaraj Palli","Archaeological Museum","1951","","8645255225","Rs. 5 per head and free entry for children up to 15 years","10:00 AM - 05:00 PM (Closed on Fridays)","Library, Photography and Guided Tours"
"Archaeological Site Museum","Raja Mahal, Chandragiri, District Chittoor - 517101","Andhra Pradesh","The Museum displays stone and metal sculptures of Shaivite, Vaishnavite and Jain traditions, bronze pieces from the Chola, Vijayanagar and Post-Vijayanagar eras, life-sized replicas of rulers, copper plates, coins, manuscripts, charts, maps displayed in three galleries namely - Gudimallam Gallery, Durbar Hall and Yaganti Gallery","Archaeological Museum","1988","https://www.asi.nic.in","8772276310","Rs. 100 per head","10:00 AM - 05:00 PM (Closed on Fridays)","Library"
"Archaeological Site Museum","Nagarjunakonda, P.O. Vijayapuri South, Guntur District - 522439","Andhra Pradesh","The Museum displays the Buddhist, Palaeolithic and Neolithic artefacts and ruins found during excavation, beautiful stone sculptures, inscriptions, relic caskets, jewellery and other antiquities from the 3rd and 4th century AD","Archaeological Museum","1966","https://www.asi.nic.in/museum-nagarjunakonda","08642278107, museumnagarjunakondaasi@gmail.com","Rs. 5 per head and free for children up to 15 years","09:00 AM - 04:00 PM (Closed on Fridays)","Photography and Guided Tours"
"Bapu Museum","M.G. Road, Buckinghampetra, Vijayawada - 520002","Andhra Pradesh","The Museum displays artefacts from Prehistoric period to Modern times. The artefacts include terracotta objects, pottery, ceramic objects, sculptures, bronzes, paintings, wood carving, Prehistoric, Proto-Historic and Historic period tools and objects, paintings, arms and weapons inscriptions etc.","Archaeological Museum","1887","","0866 2577986, vjaarchmuseums@gmail.com","Adults: Rs. 50 per head and Children: Rs. 30 per head","10:00 AM - 05:00 PM (Closed on Fridays and Gazetted Holidays)","Wheelchair, Photography and Guided Tours, Rest Rooms"
"Sri K.S.R. District Archaeological Museum","10, Pasaluru - Upparapalli - Anantapur, Adimurthy Nagar, Gulzarpet, Anantapur - 515001","Andhra Pradesh","The Museum preserves and displays the antiquities found during exploration and excavation of Anantapur and allied areas. The Museum collection dates back to the Prehistoric period to the Twentieth century such as the his - torical sculptures, paintings, Bidri ware, arms and weapons, bronzes, coins, stamps, copperplate epigraphs, stone, tool, celadon wares and enamelled wares","Archaeological Museum","1992","","855423998","Adults: Rs. 3 per head and Children: Rs. 1 per head","10:30 AM - 05:00 PM (Closed on Fridays)","Photography and Guided Tours"
"Archaeological Site Museum, Chandavaram","Jagannadhapuram, Near Chandavaram, Prakasam District - 523326","Andhra Pradesh","The Museum exhibits various artefacts which exemplify architectural heritage of Site such as the ornate limestone panels, pottery, coins, beads and Brahmi inscriptions and slabs that have Dharma Chakras, Bodhi Tree and Jataka Stories engraved on them. The Museum also displays the Hindu sculptures","Archaeological Museum","1980","","86412410986","Free","10:30 AM - 05:00 PM (Closed on Fridays)","Photography and Guided Tours"
"Bhagvan Mahavir Museum","Cuddapah - 516001","Andhra Pradesh","The Museum exhibits artefacts displayed in its four galleries. The first gallery displays stone sculptures of Hindu Gods and Goddesses. The middle gallery stands for the Jain Tirthankaras. The antiquities right from the Prehis - toric times to the late Vijayanagara period are displayed in the third gallery that displays Prehistoric stone tools, Mega - lithic pottery, early historical objects such as pottery, coins, ter racotta figurines and bronzes, arms & weapons, Bidri ware, and paintings. The fourth gallery is exclusively devoted to the stone antiquities displaying important antiquities such as the Buddha Padas (2nd Century A.D.) Annapurna, Surya and Jaina Tirthankara sculptures","Archaeological Museum","1982","","86412410986","Adults: Rs. 3 per head and Children: Rs. 1 per head","10:30 AM - 05:00 PM (Closed on Fridays)","Photography and Guided Tours"
"Baudhasree Archaeological Museum","Opposite A.C. College, Guntur District - 522004","Andhra Pradesh","The Museum displays artefacts related to Buddhist heritage. It displays Buddhist sculptures, a limestone statue of Buddha, rock-cut sculptures relocated from Sekuru, Divuladinne and Amudalapalle, bronze and copper plates, palm leaf manuscripts, coins, paintings and Prehistoric artefacts","Archaeological Museum","1992","","0866 2577986","Adults: Rs. 3 per head and Children: Rs. 1 per head","10:30 AM - 05:00 PM (Closed on Fridays)","Photography and Guided Tours"
"A.S.P. Government Museum and Research Institute","Rama Rao Pet, Kakinada, East Godavari District - 275619","Andhra Pradesh","The Museum has around four hundred antiquities displayed in a single gallery. The Antiquity collection showcases the early historical pottery, antiquities of Buddhist period, terracotta figurines, coins, copper plate inscrip - tions, stone sculptures, armed weapon sculptures etc.","Archaeological Museum","1973","https://www.aparchmuseums.nic.in","0866 2577986","Free","10:30 AM - 05:00 PM (Closed on Fridays)","Library, Photography and Guided Tours"
"District Archaeological Museum, Kurnool","Kurnool - 518001","Andhra Pradesh","The Museum has around 946 antiquities such as stone sculptures, artefacts, bronzes, Bidri ware, coins, arms and weapons, pottery, beads, terracotta, Ajanta paintings, Miniature paintings etc.","Archaeological Museum","1999","https://www.aparchmuseums.nic.in","0866 2577986","Adults: Rs. 5 per head and Children: Rs. 1 per head","10:30 AM - 05:00 PM (Closed on Fridays)","Library, Photography and Guided Tours"
